1738049309.2308004,1781,2000
1738049310.2169728,1414,2000
1738049310.9786756,1126,2000
1738049311.6237783,897,2000
1738049312.1798372,711,2000
1738049312.7346826,573,2000
1738049313.1785052,444,2000
1738049313.5856223,360,2000
1738049313.9678323,298,2000
1738049314.4003265,242,2000
1738049314.7460525,215,2000
1738049315.0868375,176,2000
1738049315.4110196,149,2000
1738049315.7367938,131,2000
1738049316.1187372,110,2000
1738049316.4275253,101,2000
1738049316.7356853,91,2000
1738049317.0416758,84,2000
1738049317.3418221,74,2000
1738049317.7095919,69,2000
1738049318.007772,63,2000
1738049318.3165386,54,2000
1738049318.61199,51,2000
1738049318.910261,46,2000
1738049319.2726893,46,2000
1738049319.5687673,42,2000
1738049319.864737,40,2000
1738049320.1577146,39,2000
1738049320.4516966,36,2000
1738049320.8159263,30,2000
1738049321.1116922,29,2000
1738049321.4029233,26,2000
1738049321.6958778,26,2000
1738049321.9848993,23,2000
1738049322.274734,23,2000
1738049322.6328423,21,2000
1738049322.9269533,21,2000
1738049323.22035,19,2000
1738049323.5192494,18,2000
1738049323.805701,17,2000
1738049324.1637719,16,2000
1738049324.4538207,16,2000
1738049324.7448502,14,2000
1738049325.0303876,13,2000
1738049325.3159308,12,2000
1738049325.6768432,11,2000
1738049325.9690208,11,2000
1738049326.267565,11,2000
1738049326.5603437,11,2000
1738049326.857305,11,2000
1738049327.2170382,11,2000
1738049327.503927,11,2000
1738049327.793365,9,2000
1738049328.0787826,9,2000
1738049328.3648322,8,2000
1738049328.6493375,7,2000
1738049329.0019157,7,2000
1738049329.2878935,7,2000
1738049329.5741446,6,2000
1738049329.8570328,6,2000
1738049330.144772,6,2000
1738049330.4983008,6,2000
1738049330.7864377,5,2000
1738049331.0762072,4,2000
1738049331.3629916,4,2000
1738049331.6480246,4,2000
1738049332.0061166,4,2000
1738049332.290353,3,2000
1738049332.5762913,3,2000
1738049332.8605235,3,2000
1738049333.1477418,3,2000
1738049333.436532,3,2000
1738049333.7912478,3,2000
1738049334.079204,3,2000
1738049334.3650017,3,2000
1738049334.6623797,3,2000
1738049334.9450703,3,2000
1738049335.3037558,3,2000
1738049335.588731,3,2000
1738049335.8732243,3,2000
1738049336.1569312,3,2000
1738049336.441462,3,2000
1738049336.7451262,3,2000
1738049337.0977552,3,2000
1738049337.386447,3,2000
1738049337.6670651,2,2000
1738049337.9507303,2,2000
1738049338.2322438,2,2000
1738049338.5772438,2,2000
1738049338.8579109,2,2000
